PadID,-90°,-85°,-80°,-75°,-70°,-65°,-60°,-55°,-50°,-45°,-40°,-35°,-30°,-25°,-20°,-15°,-10°,-5°,+0°,+5°,+10°,+15°,+20°,+25°,+30°,+35°,+40°,+45°,+50°,+55°,+60°,+65°,+70°,+75°,+80°,+85°,+90°
1,0.443271963773667,0.437161408533561,0.431513868287993,0.426329343036965,0.421607832780475,0.417349337518524,0.413553857251112,0.410221391978239,0.407351941699905,0.40494550641611,0.403002086126853,0.401521680832136,0.400504290531957,0.399949915226318,0.399858554915217,0.400230209598655,0.401064879276632,0.402362563949148,0.404123263616203,0.406346978277797,0.40903370793393,0.412183452584602,0.415796212229812,0.419871986869562,0.42441077650385,0.429412581132677,0.434877400756043,0.440805235373948,0.447196084986392,0.454049949593375,0.461366829194897,0.469146723790958,0.477389633381557,0.486095557966696,0.495264497546373,0.50489645212059,0.514991421689345
2,0.430068886952751,0.423381468113085,0.417689750164359,0.412993733106571,0.409293416939723,0.406588801663813,0.404879887278843,0.404166673784812,0.404449161181719,0.405727349469566,0.408001238648352,0.411270828718077,0.415536119678741,0.420797111530345,0.427053804272887,0.434306197906368,0.442554292430789,0.451798087846148,0.462037584152447,0.473272781349685,0.485503679437862,0.498730278416978,0.512952578287033,0.528170579048027,0.54438428069996,0.561593683242832,0.579798786676643,0.598999591001394,0.619196096217083,0.640388302323712,0.66257620932128,0.685759817209787,0.709939125989232,0.735114135659617,0.761284846220941,0.788451257673204,0.816613370016407
3,0.0150875775280816,0.0135799374620741,0.0121812138827271,0.0108914067900408,0.00971051618401516,0.00863854206465012,0.00767548443194572,0.00682134328590194,0.00607611862651881,0.0054398104537963,0.00491241876773443,0.00449394356833319,0.00418438485559259,0.00398374262951262,0.00389201689009328,0.00390920763733457,0.0040353148712365,0.00427033859179907,0.00461427879902226,0.00506713549290609,0.00562890867345055,0.00629959834065565,0.00707920449452138,0.00796772713504774,0.00896516626223473,0.0100715218760824,0.0112867939765906,0.0126109825637595,0.014044087637589,0.0155861091980792,0.01723704724523,0.0189969017790414,0.0208656727995135,0.0228433603066462,0.0249299643004395,0.0271254847808935,0.0294299217480081
4,0.00472427098851495,0.00427978785117501,0.00386239648540157,0.00347209689119464,0.00310888906855422,0.00277277301748031,0.00246374873797291,0.00218181623003201,0.00192697549365762,0.00169922652884974,0.00149856933560837,0.0013250039139335,0.00117853026382515,0.0010591483852833,0.000966858278307959,0.000901659942899127,0.000863553379056802,0.000852538586780986,0.000868615566071677,0.000911784316928876,0.000982044839352584,0.0010793971333428,0.00120384119889952,0.00135537703602275,0.00153400464471249,0.00173972402496874,0.00197253517679149,0.00223243810018076,0.00251943279513653,0.00283351926165881,0.00317469749974759,0.00354296750940289,0.00393832929062469,0.004360782843413,0.00481032816776782,0.00528696526368915,0.00579069413117698
5,0.0340438945605402,0.0314301533324508,0.0289174883783112,0.0265058996981214,0.0241953872918814,0.0219859511595911,0.0198775913012505,0.0178703077168598,0.0159641004064188,0.0141589693699275,0.012454914607386,0.0108519361187943,0.00935003390415234,0.00794920796346013,0.0066494582967177,0.00545078490392501,0.0043531877850821,0.00335666694018894,0.00246122236924555,0.00166685407225191,0.000973562049208041,0.000381346300113931,0,0,0,0,0,0,0,0,0,1.83838764097125e-05,0.000538007140762978,0.00115870667906601,0.00188048249131879,0.00270333457752134,0.00362726293767366
6,0.528874038185953,0.512409588016314,0.497544443416874,0.484278604387633,0.472612070928592,0.462544843039749,0.454076920721105,0.447208303972661,0.441938992794415,0.438268987186369,0.436198287148521,0.435726892680873,0.436854803783424,0.439582020456174,0.443908542699122,0.44983437051227,0.457359503895617,0.466483942849163,0.477207687372908,0.489530737466852,0.503453093130995,0.518974754365337,0.536095721169878,0.554815993544618,0.575135571489558,0.597054455004696,0.620572644090033,0.645690138745569,0.672406938971305,0.700723044767239,0.730638456133373,0.762153173069705,0.795267195576237,0.829980523652968,0.866293157299897,0.904205096517026,0.943716341304354
7,0.486067050009812,0.46483195093982,0.445035104496917,0.426676510681102,0.409756169492375,0.394274080930736,0.380230244996185,0.367624661688722,0.356457331008347,0.346728252955061,0.338437427528862,0.331584854729752,0.32617053455773,0.322194467012796,0.31965665209495,0.318557089804192,0.318895780140522,0.320672723103941,0.323887918694447,0.328541366912042,0.334633067756725,0.342163021228495,0.351131227327354,0.361537686053301,0.373382397406337,0.38666536138646,0.401386577993672,0.417546047227971,0.435143769089359,0.454179743577835,0.474653970693399,0.496566450436051,0.519917182805791,0.544706167802619,0.570933405426536,0.59859889567754,0.627702638555633
8,0.0904535090882127,0.0820991055340906,0.0744159610201122,0.0674040755462776,0.0610634491125867,0.0553940817190396,0.0503959733656362,0.0460691240523766,0.0424135337792607,0.0394292025462886,0.0371161303534601,0.0354743172007755,0.0345037630882346,0.0342044680158374,0.0345764319835839,0.0356196549914743,0.0373341370395083,0.0397198781276861,0.0427768782560076,0.0465051374244729,0.0509046556330819,0.0559754328818347,0.0617174691707312,0.0681307644997715,0.0752153188689555,0.0829711322782832,0.0913982047277547,0.10049653621737,0.110266126747129,0.120706976317032,0.131819084927078,0.143602452577268,0.156057079267602,0.16918296499808,0.182980109768701,0.197448513579467,0.212588176430375
9,0.144458561708644,0.134539365925719,0.125056103101809,0.116008773236915,0.107397376331036,0.0992219123841719,0.0914823813963233,0.08417878336749,0.0773111182976719,0.0708793861868692,0.0648835870350817,0.0593237208423095,0.0541997876085527,0.049511787333811,0.0452597200180847,0.0414435856613737,0.0380633842636779,0.0351191158249975,0.0326107803453323,0.0305383778246824,0.0289019082630478,0.0277013716604284,0.0269367680168244,0.0266080973322356,0.0267153596066622,0.027258554840104,0.0282376830325611,0.0296527441840335,0.0315037382945211,0.0337906653640241,0.0365135253925423,0.0396723183800759,0.0432670443266247,0.0472977032321888,0.0517642950967682,0.0566668199203628,0.0620052777029728
10,0.432687602227595,0.404326647796195,0.377033639451934,0.350808577194812,0.325651461024828,0.301562290941983,0.278541066946276,0.256587789037707,0.235702457216277,0.215885071481986,0.197135631834833,0.179454138274819,0.162840590801943,0.147294989416205,0.132817334117606,0.119407624906146,0.107065861781824,0.0957920447446405,0.0855861737945955,0.0764482489316891,0.0683782701559211,0.0613762374672916,0.0554421508658006,0.0505760103514481,0.0467778159242341,0.0440475675841586,0.0423852653312216,0.0417909091654231,0.0422644990867631,0.0438060350952416,0.0464155171908586,0.050092945373614,0.054838319643508,0.0606516400005404,0.0675329064447114,0.0754821189760208,0.0844992775944688
