Hand data:
Mean euler angle for the hand position:X=-87,72°, Y=48,29°, Z=149,98°
Roll (x-axis): -87,72°, Pitch (y-axis): 48,27°, Yaw (z-axis): 150,01°
Roll (x-axis): -87,69°, Pitch (y-axis): 48,35°, Yaw (z-axis): 150,04°
Roll (x-axis): -87,71°, Pitch (y-axis): 48,22°, Yaw (z-axis): 150,02°
Roll (x-axis): -87,71°, Pitch (y-axis): 48,22°, Yaw (z-axis): 150,02°
Roll (x-axis): -87,78°, Pitch (y-axis): 48,10°, Yaw (z-axis): 149,93°
Roll (x-axis): -87,80°, Pitch (y-axis): 48,05°, Yaw (z-axis): 149,90°
Roll (x-axis): -87,80°, Pitch (y-axis): 48,07°, Yaw (z-axis): 149,94°
Roll (x-axis): -87,78°, Pitch (y-axis): 48,03°, Yaw (z-axis): 149,96°
Roll (x-axis): -87,74°, Pitch (y-axis): 48,04°, Yaw (z-axis): 150,00°
Roll (x-axis): -87,76°, Pitch (y-axis): 47,93°, Yaw (z-axis): 149,97°
Roll (x-axis): -87,76°, Pitch (y-axis): 47,86°, Yaw (z-axis): 149,98°
Roll (x-axis): -87,75°, Pitch (y-axis): 47,80°, Yaw (z-axis): 149,98°
Roll (x-axis): -87,78°, Pitch (y-axis): 47,67°, Yaw (z-axis): 149,97°
Roll (x-axis): -87,71°, Pitch (y-axis): 47,74°, Yaw (z-axis): 150,03°
Roll (x-axis): -87,53°, Pitch (y-axis): 48,28°, Yaw (z-axis): 150,27°
Roll (x-axis): -87,64°, Pitch (y-axis): 48,05°, Yaw (z-axis): 150,18°
Roll (x-axis): -87,70°, Pitch (y-axis): 48,00°, Yaw (z-axis): 150,14°
Roll (x-axis): -87,68°, Pitch (y-axis): 48,01°, Yaw (z-axis): 150,15°
Roll (x-axis): -87,64°, Pitch (y-axis): 48,12°, Yaw (z-axis): 150,19°
Roll (x-axis): -87,68°, Pitch (y-axis): 48,11°, Yaw (z-axis): 150,17°
Roll (x-axis): -87,68°, Pitch (y-axis): 48,01°, Yaw (z-axis): 150,15°
Roll (x-axis): -87,70°, Pitch (y-axis): 47,96°, Yaw (z-axis): 150,12°
Roll (x-axis): -87,62°, Pitch (y-axis): 48,15°, Yaw (z-axis): 150,22°
Roll (x-axis): -87,60°, Pitch (y-axis): 48,19°, Yaw (z-axis): 150,25°
Roll (x-axis): -87,63°, Pitch (y-axis): 48,11°, Yaw (z-axis): 150,20°
Roll (x-axis): -87,63°, Pitch (y-axis): 48,10°, Yaw (z-axis): 150,21°
Roll (x-axis): -87,63°, Pitch (y-axis): 48,11°, Yaw (z-axis): 150,20°
Roll (x-axis): -87,65°, Pitch (y-axis): 48,10°, Yaw (z-axis): 150,19°
Roll (x-axis): -87,67°, Pitch (y-axis): 48,09°, Yaw (z-axis): 150,18°
Roll (x-axis): -87,63°, Pitch (y-axis): 48,14°, Yaw (z-axis): 150,23°
Roll (x-axis): -87,66°, Pitch (y-axis): 48,01°, Yaw (z-axis): 150,18°

Arm data:
Mean euler angle for the arm position:X=47,97°, Y=10,10°, Z=-114,31°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 48,02°, Pitch (y-axis): 10,09°, Yaw (z-axis): -114,29°
Roll (x-axis): 47,99°, Pitch (y-axis): 10,08°, Yaw (z-axis): -114,32°
Roll (x-axis): 47,91°, Pitch (y-axis): 10,10°, Yaw (z-axis): -114,36°
Roll (x-axis): 47,85°, Pitch (y-axis): 10,13°, Yaw (z-axis): -114,39°
Roll (x-axis): 47,81°, Pitch (y-axis): 10,14°, Yaw (z-axis): -114,40°
Roll (x-axis): 47,76°, Pitch (y-axis): 10,14°, Yaw (z-axis): -114,39°
Roll (x-axis): 47,74°, Pitch (y-axis): 10,15°, Yaw (z-axis): -114,41°
Roll (x-axis): 47,69°, Pitch (y-axis): 10,15°, Yaw (z-axis): -114,41°
Roll (x-axis): 47,66°, Pitch (y-axis): 10,17°, Yaw (z-axis): -114,41°
Roll (x-axis): 47,63°, Pitch (y-axis): 10,16°, Yaw (z-axis): -114,42°
Roll (x-axis): 47,61°, Pitch (y-axis): 10,17°, Yaw (z-axis): -114,43°
Roll (x-axis): 47,58°, Pitch (y-axis): 10,18°, Yaw (z-axis): -114,43°
Roll (x-axis): 47,58°, Pitch (y-axis): 10,18°, Yaw (z-axis): -114,43°
Roll (x-axis): 47,58°, Pitch (y-axis): 10,18°, Yaw (z-axis): -114,43°
Roll (x-axis): 47,58°, Pitch (y-axis): 10,18°, Yaw (z-axis): -114,43°
Roll (x-axis): 47,58°, Pitch (y-axis): 10,18°, Yaw (z-axis): -114,43°
Roll (x-axis): 47,58°, Pitch (y-axis): 10,18°, Yaw (z-axis): -114,43°
