Hand data:
Mean angles for the hand position:
X: -96,91, Y: -3,23, Z: 51,71
Euler: X: -100,12 Y: -14,13 Z: 63,19
Euler: X: -103,00 Y: -12,75 Z: 62,44
Euler: X: -106,12 Y: -12,13 Z: 61,94
Euler: X: -107,87 Y: -11,25 Z: 61,38
Euler: X: -108,62 Y: -10,19 Z: 60,63
Euler: X: -109,81 Y: -8,94 Z: 59,00
Euler: X: -111,81 Y: -7,06 Z: 57,31

Arm data:
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,50 Z: 1,75
Euler: X: 103,56 Y: 11,50 Z: 1,75
Euler: X: 103,56 Y: 11,50 Z: 1,75
Euler: X: 103,56 Y: 11,50 Z: 1,75
Euler: X: 103,56 Y: 11,50 Z: 1,75
Euler: X: 103,56 Y: 11,50 Z: 1,75
Euler: X: 103,56 Y: 11,50 Z: 1,75
Euler: X: 103,56 Y: 11,50 Z: 1,75
Euler: X: 103,56 Y: 11,50 Z: 1,75
Euler: X: 103,56 Y: 11,50 Z: 1,75
Euler: X: 103,56 Y: 11,50 Z: 1,75
Euler: X: 103,56 Y: 11,50 Z: 1,75
Euler: X: 103,56 Y: 11,50 Z: 1,75
Euler: X: 103,56 Y: 11,50 Z: 1,75
Euler: X: 103,56 Y: 11,50 Z: 1,75
Euler: X: 103,56 Y: 11,50 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,50 Z: 1,75
Euler: X: 103,56 Y: 11,50 Z: 1,75
Euler: X: 103,56 Y: 11,50 Z: 1,75
Euler: X: 103,56 Y: 11,50 Z: 1,75
Euler: X: 103,56 Y: 11,50 Z: 1,75
Euler: X: 103,56 Y: 11,50 Z: 1,75
Euler: X: 103,56 Y: 11,50 Z: 1,75
Euler: X: 103,56 Y: 11,50 Z: 1,75
Euler: X: 103,56 Y: 11,50 Z: 1,75
Euler: X: 103,56 Y: 11,50 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,50 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Euler: X: 103,56 Y: 11,44 Z: 1,75
Mean angles for the arm position:
X: 103,56, Y: 11,45, Z: 1,75
